,period_open,period_close,short_value,long_exposure,pnl,ending_exposure,short_exposure,capital_used,orders,transactions,gross_leverage,positions,starting_exposure,starting_value,net_leverage,ending_value,returns,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,long_value,benchmark_period_return,benchmark_volatility,alpha,beta,algorithm_period_return,sharpe,sortino,algo_volatility,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label
2023-01-18 21:00:00+00:00,2023-01-18 14:31:00+00:00,2023-01-18 21:00:00+00:00,0.0,107244.286,-1687.9500000000116,107244.286,0.0,0.0,[],[],1.0146102996114534,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 132.212}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 90.492}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 99.745}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 214.553}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 128.78}]",108932.236,108932.236,1.0146102996114534,107244.286,-0.01571824726317017,-1544.3083425000036,-1544.3083425000036,105699.97765749999,5,0,107244.286,0.0,0.0,,,0.05699977657499988,7.320531047598805,15.260510324918728,0.17583123942454496,-0.015718247263170164,1.0155748725990719,0.0,0.0,11,2023-01
2023-01-19 21:00:00+00:00,2023-01-19 14:31:00+00:00,2023-01-19 21:00:00+00:00,0.0,108102.569,858.2830000000104,108102.569,0.0,0.0,[],[],1.0144926196521145,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 135.323}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 92.408}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 100.385}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 215.482}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 127.17}]",107244.286,107244.286,1.0144926196521145,108102.569,0.008119992255638087,-1544.3083425000036,-1544.3083425000036,106558.2606575,5,0,108102.569,0.0,0.0,,,0.06558260657500004,8.02797978457433,16.722367770712022,0.16821580069616496,-0.015718247263170164,1.0155748725990719,0.0,0.0,12,2023-01
2023-01-20 21:00:00+00:00,2023-01-20 14:31:00+00:00,2023-01-20 21:00:00+00:00,0.0,111639.141,3536.572,111639.141,0.0,0.0,[],[],1.0140270737983161,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 138.523}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 97.34400000000001}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 102.21600000000001}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 219.29500000000002}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 133.42000000000002}]",108102.569,108102.569,1.0140270737983161,111639.141,0.033189092785281815,-1544.3083425000036,-1544.3083425000036,110094.8326575,5,0,111639.141,0.0,0.0,,,0.10094832657500019,9.339039351519475,24.358312990818373,0.20236678631694757,-0.015718247263170164,1.0155748725990719,0.0,0.0,13,2023-01
2023-01-23 21:00:00+00:00,2023-01-23 14:31:00+00:00,2023-01-23 21:00:00+00:00,0.0,114446.83600000001,2807.695000000007,114446.83600000001,0.0,0.0,[],[],1.0136782441858592,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 142.4}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 99.102}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 101.684}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 219.168}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 143.75}]",111639.141,111639.141,1.0136782441858592,114446.83600000001,0.025502513898491674,-1544.3083425000036,-1544.3083425000036,112902.5276575,5,0,114446.83600000001,0.0,0.0,,,0.12902527657500018,10.598585531987736,29.61204897343092,0.20889230494808275,-0.015718247263170164,1.0155748725990719,0.0,0.0,14,2023-01
2023-01-24 21:00:00+00:00,2023-01-24 14:31:00+00:00,2023-01-24 21:00:00+00:00,0.0,114153.85,-292.9860000000044,114153.85,0.0,0.0,[],[],1.0137138320587167,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 142.27}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 97.026}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 102.631}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 218.88400000000001}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 143.89000000000001}]",114446.83600000001,114446.83600000001,1.0137138320587167,114153.85,-0.002595034903813742,-1544.3083425000036,-1544.3083425000036,112609.5416575,5,0,114153.85,0.0,0.0,,,0.12609541657500012,9.789432828375512,27.705596973297713,0.20662778725933864,-0.015718247263170164,1.0155748725990719,0.0,0.0,15,2023-01
2023-01-25 21:00:00+00:00,2023-01-25 14:31:00+00:00,2023-01-25 21:00:00+00:00,0.0,113421.441,-732.4089999999997,113421.441,0.0,0.0,[],[],1.0138036103162185,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 140.64000000000001}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 94.563}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 102.09}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 219.872}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 144.43}]",114153.85,114153.85,1.0138036103162185,113421.441,-0.006503969283771838,-1544.3083425000036,-1544.3083425000036,111877.1326575,5,0,113421.441,0.0,0.0,,,0.11877132657500011,8.633519636193576,23.8373944949134,0.20778411939559466,-0.015718247263170164,1.0155748725990719,0.0,0.0,16,2023-01
2023-01-26 21:00:00+00:00,2023-01-26 14:31:00+00:00,2023-01-26 21:00:00+00:00,0.0,118629.327,5207.885999999999,118629.327,0.0,0.0,[],[],1.0131896322877776,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 146.405}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 96.848}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 106.193}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 219.686}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 160.27}]",113421.441,113421.441,1.0131896322877776,118629.327,0.04655004893576775,-1544.3083425000036,-1544.3083425000036,117085.0186575,5,0,118629.327,0.0,0.0,,,0.17085018657500006,9.43669304970058,32.577039843931495,0.25203959328897535,-0.015718247263170164,1.0155748725990719,0.0,0.0,17,2023-01
2023-01-27 21:00:00+00:00,2023-01-27 14:31:00+00:00,2023-01-27 21:00:00+00:00,0.0,123256.125,4626.797999999995,123256.125,0.0,0.0,[],[],1.012688236729271,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 150.818}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 98.685}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 104.254}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 226.26500000000001}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 177.9}]",118629.327,118629.327,1.012688236729271,123256.125,0.039516567132592995,-1544.3083425000036,-1544.3083425000036,121711.81665749999,5,0,123256.125,0.0,0.0,,,0.21711816657500016,10.400506186508867,39.456452774998915,0.269171298780147,-0.015718247263170164,1.0155748725990719,0.0,0.0,18,2023-01
2023-01-30 21:00:00+00:00,2023-01-30 14:31:00+00:00,2023-01-30 21:00:00+00:00,0.0,119276.27100000001,-3979.853999999992,119276.27100000001,0.0,0.0,[],[],1.0131171544892412,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 146.167}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 96.272}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 102.405}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 223.978}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 166.66}]",123256.125,123256.125,1.0131171544892412,119276.27100000001,-0.03269899430717893,-1544.3083425000036,-1544.3083425000036,117731.9626575,5,0,119276.27100000001,0.0,0.0,,,0.1773196265750001,7.24043505031074,16.115558988321258,0.3064018637523992,-0.032698994307178965,1.0155748725990719,0.0,0.0,19,2023-01
2023-01-31 21:00:00+00:00,2023-01-31 14:31:00+00:00,2023-01-31 21:00:00+00:00,0.0,121785.809,2509.537999999986,121785.809,0.0,0.0,[],[],1.0128433887971746,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 148.065}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 98.158}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 104.61500000000001}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 225.06300000000002}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 173.22}]",119276.27100000001,119276.27100000001,1.0128433887971746,121785.809,0.021315689837776652,-1544.3083425000036,-1544.3083425000036,120241.50065749999,5,0,121785.809,0.0,0.0,,,0.2024150065749999,7.880560329883017,17.709196799852325,0.30151870509124,-0.032698994307178965,1.0155748725990719,0.0,0.0,20,2023-01
